Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
Apartamento,16.090,12000,Perdizes, 190 ,4,5,3
Sobrado,2.800,2800,Santa Terezinha, 150 ,3,3,2
Casa térrea,2.401,2400,Santana, 104 ,3,2,1
Apartamento,15.245,10000,Itaim Bibi, 230 ,3,5,4
Apartamento,3.509,2500,Consolação, 45 ,1,1,1
Apartamento,6.850,5100,Pinheiros, 75 ,3,3,2
Apartamento,4.091,2900,Perdizes, 84 ,3,3,1
Apartamento,3.548,2700,Perdizes, 80 ,2,1,1
Apartamento,3.900,3000,Ibirapuera, 47 ,2,1,1
Apartamento,9.046,7300,Jardim América, 160 ,3,2,2
Apartamento,4.921,3950,Pinheiros, 57 ,1,1,1
Apartamento,3.650,3000,Vila Leopoldina, 69 ,2,2,1
Apartamento,2.346,1790,Vila Anastácio, 52 ,2,1,1
Apartamento,2.222,1800,Vila Anastácio, 48 ,2,1,1
Apartamento,13.261,10000,Jardim América, 180 ,4,3,2
Casa,25.900,20000,Alto Da Boa Vista, 587 ,4,1,4
Casa de vila,1.300,1300,Santana, 60 ,1,1,0
Apartamento,14.660,10000,Moema, 300 ,3,4,2
